audio_path,name,V,A,gender,duration,discrete_emotion,split_set
/tmp/CCSEMO/audio/spk11-1-1-103.wav,spk11-1-1-103.wav,0.0,3.0,F,9.190,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-105.wav,spk11-1-1-105.wav,-0.333,3.0,F,7.480,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-106.wav,spk11-1-1-106.wav,1.0,3.0,F,5.520,happy,test
/tmp/CCSEMO/audio/spk11-1-1-109.wav,spk11-1-1-109.wav,-0.667,2.5,F,14.550,sad,test
/tmp/CCSEMO/audio/spk11-1-1-114.wav,spk11-1-1-114.wav,-0.667,3.167,F,5.760,surprise,test
/tmp/CCSEMO/audio/spk11-1-1-116.wav,spk11-1-1-116.wav,0.0,2.833,F,5.060,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-117.wav,spk11-1-1-117.wav,-0.333,3.0,F,7.600,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-119.wav,spk11-1-1-119.wav,-0.667,3.0,F,6.280,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-120.wav,spk11-1-1-120.wav,0.0,2.833,F,6.140,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-121.wav,spk11-1-1-121.wav,-0.667,3.0,F,5.495,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-123.wav,spk11-1-1-123.wav,0.0,3.333,F,5.900,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-124.wav,spk11-1-1-124.wav,0.0,3.0,F,8.380,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-125.wav,spk11-1-1-125.wav,0.167,3.167,F,5.410,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-126.wav,spk11-1-1-126.wav,-0.333,3.0,F,6.180,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-128.wav,spk11-1-1-128.wav,-0.333,2.667,F,3.520,sad,test
/tmp/CCSEMO/audio/spk11-1-1-129.wav,spk11-1-1-129.wav,0.333,3.0,F,6.360,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-131.wav,spk11-1-1-131.wav,-0.333,3.0,F,8.300,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-134.wav,spk11-1-1-134.wav,-0.667,2.833,F,5.080,sad,test
/tmp/CCSEMO/audio/spk11-1-1-135.wav,spk11-1-1-135.wav,0.0,3.0,F,5.020,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-136.wav,spk11-1-1-136.wav,0.0,2.833,F,6.635,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-137.wav,spk11-1-1-137.wav,-0.333,2.0,F,14.610,sad,test
/tmp/CCSEMO/audio/spk11-1-1-138.wav,spk11-1-1-138.wav,-0.667,3.0,F,5.480,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-140.wav,spk11-1-1-140.wav,0.667,2.833,F,3.220,happy,test
/tmp/CCSEMO/audio/spk11-1-1-144.wav,spk11-1-1-144.wav,0.167,3.0,F,7.010,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-145.wav,spk11-1-1-145.wav,-0.333,3.0,F,6.760,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-146.wav,spk11-1-1-146.wav,-0.333,3.0,F,5.720,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-148.wav,spk11-1-1-148.wav,-0.333,3.167,F,8.100,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-150.wav,spk11-1-1-150.wav,-0.5,3.0,F,9.250,sad,test
/tmp/CCSEMO/audio/spk11-1-1-152.wav,spk11-1-1-152.wav,0.0,2.833,F,9.290,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-153.wav,spk11-1-1-153.wav,0.0,2.833,F,7.680,neutral,test
/tmp/CCSEMO/audio/spk11-1-1-215.wav,spk11-1-1-215.wav,-0.333,2.833,F,5.040,sad,test
/tmp/CCSEMO/audio/spk11-1-1-216.wav,spk11-1-1-216.wav,-0.667,2.667,F,6.010,sad,test
/tmp/CCSEMO/audio/spk11-1-1-217.wav,spk11-1-1-217.wav,-0.333,2.667,F,5.400,neutral,test
