audio_path,name,V,A,gender,duration,discrete_emotion,split_set,transcript
/tmp/CCSEMO/audio/spk11-1-1-103.wav,spk11-1-1-103.wav,0.0,3.0,F,9.19,neutral,train,嗯，男上嗯，然后那个我是跟我一个朋友，就是男闺蜜，她聊天记录我就是呃加模糊了。
/tmp/CCSEMO/audio/spk11-1-1-105.wav,spk11-1-1-105.wav,-0.333,3.0,F,7.48,neutral,train,很快，然后那个女生就呃把我那个视频保存下来，然后慢动作看看我跟我男闺蜜聊什么。
/tmp/CCSEMO/audio/spk11-1-1-106.wav,spk11-1-1-106.wav,1.0,3.0,F,5.52,happy,train,然后把那个事情那个那个里面的事情告诉，就是我想要表白那个男生。
/tmp/CCSEMO/audio/spk11-1-1-109.wav,spk11-1-1-109.wav,-0.667,2.5,F,14.55,sad,train,那个人其实就是把他当朋友，他居然玩这种事情，就是把我的意思什么？就是就是那个女生，她其实在做这件事情之前。
/tmp/CCSEMO/audio/spk11-1-1-114.wav,spk11-1-1-114.wav,-0.667,3.167,F,5.76,surprise,train,我是很晚上四点多发的，然后第二天早上就删了，也不知道他怎么拿的，晚上不睡觉。
/tmp/CCSEMO/audio/spk11-1-1-116.wav,spk11-1-1-116.wav,0.0,2.833,F,5.06,neutral,train,嗯，结束了，他结束了，然后截图，然后发给别人看。
/tmp/CCSEMO/audio/spk11-1-1-117.wav,spk11-1-1-117.wav,-0.333,3.0,F,7.6,neutral,train,的事情就是那个男生截图发给我另一个朋友，我另一个朋友告诉我，他问我是不是什么事都跟那个女生说。
/tmp/CCSEMO/audio/spk11-1-1-119.wav,spk11-1-1-119.wav,-0.667,3.0,F,6.28,neutral,train,因为因为我们班就是有一些嗯都是嗯比较就是讨厌级的人。
/tmp/CCSEMO/audio/spk11-1-1-120.wav,spk11-1-1-120.wav,0.0,2.833,F,6.14,neutral,train,那我们就呃就组个群，然后不能拉他们进去，不能拉拉那几个人进去。
/tmp/CCSEMO/audio/spk11-1-1-121.wav,spk11-1-1-121.wav,-0.667,3.0,F,5.495,neutral,train,然后那个女生就是调戏，你要把那些我们就是讨厌的，然后拉进特意拉进去。
/tmp/CCSEMO/audio/spk11-1-1-123.wav,spk11-1-1-123.wav,0.0,3.333,F,5.9,neutral,train,是我们我们班群，然后就是没有那几个人嘛，然后也在群公告那里说不能拉那几个人。
/tmp/CCSEMO/audio/spk11-1-1-124.wav,spk11-1-1-124.wav,0.0,3.0,F,8.38,neutral,train,哦，这样这样讨讨一下，是个大部分的一个区号啊，大部分然后他就他特意把那几个那几个人拉了进来。
/tmp/CCSEMO/audio/spk11-1-1-125.wav,spk11-1-1-125.wav,0.167,3.167,F,5.41,neutral,train,哦，然后那是有比较兴奋嗯，兴奋的时候做的。
