name,audio_path,discrete_emotion,A,V,D,SpkrID,Gender,split_set,duration
MSP-PODCAST_0001_0008.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0008.wav,N,2.2,4.0,2.6,30,Male,test,10.488375
MSP-PODCAST_0001_0009.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0009.wav,N,4.0,3.5,3.8,39,Male,train,6.445812
MSP-PODCAST_0001_0011.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0011.wav,N,4.176471,4.882353,4.117647,39,Male,train,5.532938
MSP-PODCAST_0001_0013.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0013.wav,N,3.0,3.75,3.166667,39,Male,train,3.018
MSP-PODCAST_0001_0016.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0016.wav,N,2.4,4.2,2.8,30,Male,test,6.809062
MSP-PODCAST_0001_0019.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0019.wav,H,3.6,4.8,4.0,30,Male,test,7.787125
MSP-PODCAST_0001_0020.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0020.wav,H,4.6,4.8,4.0,30,Male,test,5.020625
MSP-PODCAST_0001_0024.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0024.wav,N,2.0,3.0,2.4,30,Male,test,2.95275
MSP-PODCAST_0001_0025.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0025.wav,H,2.4,5.8,3.6,30,Male,test,5.29075
MSP-PODCAST_0001_0027.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0027.wav,N,3.6,3.8,4.0,30,Male,test,9.53825
MSP-PODCAST_0001_0030.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0030.wav,N,2.0,4.4,2.8,30,Male,test,5.607437
MSP-PODCAST_0001_0036.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0036.wav,N,2.0,3.6,2.0,30,Male,test,3.837687
MSP-PODCAST_0001_0041.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0041.wav,N,3.0,4.2,3.0,30,Male,test,6.101125
MSP-PODCAST_0001_0043.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0043.wav,X,5.0,3.2,4.8,39,Male,train,8.1783125
MSP-PODCAST_0001_0048.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0048.wav,O,2.6,4.4,3.2,30,Male,test,7.5449375
MSP-PODCAST_0001_0050.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0050.wav,X,3.4,5.0,4.4,30,Male,test,5.612125
MSP-PODCAST_0001_0053.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0053.wav,X,4.166667,4.333333,4.666667,39,Male,train,4.2940625
MSP-PODCAST_0001_0055.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0055.wav,N,3.0,4.6,3.0,30,Male,test,8.755812
MSP-PODCAST_0001_0056.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0056.wav,X,3.166667,4.5,3.666667,30,Male,test,4.78775
MSP-PODCAST_0001_0058.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0058.wav,N,2.833333,4.0,3.444444,30,Male,test,4.843625
MSP-PODCAST_0001_0060.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0060.wav,H,4.2,4.6,4.6,39,Male,train,9.817687
MSP-PODCAST_0001_0061.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0061.wav,N,2.6,4.2,4.0,39,Male,train,8.532312
MSP-PODCAST_0001_0062.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0062.wav,H,4.0,5.6,4.6,39,Male,train,9.688375
MSP-PODCAST_0001_0063.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0063.wav,N,3.6,4.2,4.2,39,Male,train,7.408188
MSP-PODCAST_0001_0065.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0065.wav,N,2.266667,4.0,2.866667,30,Male,test,8.998
MSP-PODCAST_0001_0067.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0067.wav,N,4.0,4.2,4.2,39,Male,train,6.091812
MSP-PODCAST_0001_0068.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0068.wav,H,4.0,5.4,4.4,39,Male,train,6.762437
MSP-PODCAST_0001_0069.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0069.wav,N,3.0,3.7,3.6,39,Male,train,4.694625
MSP-PODCAST_0001_0071.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0071.wav,N,2.8,4.2,3.8,30,Male,test,9.46375
MSP-PODCAST_0001_0072.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0072.wav,N,3.0,4.4,3.4,30,Male,test,7.4145
